Id,Label,Type
304,hochroitzpointner,Tier-Lemma
305,henn,Tier-Lemma
306,mantille,Tier-Lemma
307,frosch,Tier-Lemma
308,störche,Tier-Lemma
309,rebecca,Tier-Lemma
310,ko-bo-so,Tier-Lemma
311,siegfried,Tier-Lemma
312,käfer,Tier-Lemma
313,krähe,Tier-Lemma
314,titus,Tier-Lemma
315,borromäus,Tier-Lemma
316,finkenmäuslin,Tier-Lemma
317,amor,Tier-Lemma
318,lätorius,Tier-Lemma
319,kranzeljungfer,Tier-Lemma
320,zwerg,Tier-Lemma
321,todten-gerippe,Tier-Lemma
322,puckel,Tier-Lemma
323,diwan,Tier-Lemma
324,krabbe,Tier-Lemma
325,männche,Tier-Lemma
326,rind,Tier-Lemma
327,schmetternd,Tier-Lemma
328,hirsch,Tier-Lemma
329,riesendame,Tier-Lemma
330,hühneraug,Tier-Lemma
331,libussas,Tier-Lemma
332,bonmot,Tier-Lemma
333,knochen,Tier-Lemma
334,würst,Tier-Lemma
335,wespe,Tier-Lemma
336,mäulchen,Tier-Lemma
337,rebhuhn,Tier-Lemma
338,juno,Tier-Lemma
339,fliehend,Tier-Lemma
340,tiegel,Tier-Lemma
341,phaon,Tier-Lemma
342,pfaff,Tier-Lemma
343,frösche,Tier-Lemma
344,bruno,Tier-Lemma
345,goffier,Tier-Lemma
346,coulisse,Tier-Lemma
347,guiskard,Tier-Lemma
348,goldfuch,Tier-Lemma
349,lemuren,Tier-Lemma
350,schreimann,Tier-Lemma
351,zippelmütz,Tier-Lemma
352,handpferden,Tier-Lemma
353,zunge,Tier-Lemma
354,peppi,Tier-Lemma
355,leonore,Tier-Lemma
356,reh,Tier-Lemma
357,atalus,Tier-Lemma
358,portiere,Tier-Lemma
359,riesenschildkröt,Tier-Lemma
360,rüsseltier,Tier-Lemma
361,caillard,Tier-Lemma
362,philomarini,Tier-Lemma
363,löwenklau,Tier-Lemma
364,habusch,Tier-Lemma
365,fasan,Tier-Lemma
366,kater,Tier-Lemma
367,kobolde,Tier-Lemma
368,eukärus,Tier-Lemma
369,schnurrbart,Tier-Lemma
370,kulican,Tier-Lemma
371,wotan,Tier-Lemma
372,tausendguldennot,Tier-Lemma
373,rosse,Tier-Lemma
374,eber,Tier-Lemma
375,gralstaube,Tier-Lemma
376,wolf,Tier-Lemma
377,schweinekopf,Tier-Lemma
378,hexe,Tier-Lemma
379,lainilla,Tier-Lemma
380,hunde,Tier-Lemma
381,pfauenfeder,Tier-Lemma
382,erdgeister,Tier-Lemma
383,rosel,Tier-Lemma
384,schweinsblasen,Tier-Lemma
385,narziß,Tier-Lemma
386,prey,Tier-Lemma
387,zoe,Tier-Lemma
388,libussa,Tier-Lemma
389,auerhahn,Tier-Lemma
