Source,Target,Weight,Type
1918,3115,2,occurs_in_speaker_text
264,3115,1,occurs_in_speaker_text
1316,3115,2,occurs_in_speaker_text
1212,3115,2,occurs_in_speaker_text
3092,3115,1,occurs_in_speaker_text
981,3115,1,occurs_in_speaker_text
2477,3115,8,occurs_in_speaker_text
1656,3115,4,occurs_in_speaker_text
1732,3115,5,occurs_in_speaker_text
891,3115,1,occurs_in_speaker_text
671,3115,1,occurs_in_speaker_text
562,3115,1,occurs_in_speaker_text
1193,3115,1,occurs_in_speaker_text
2360,3115,2,occurs_in_speaker_text
122,3115,1,occurs_in_speaker_text
609,3116,2,occurs_in_speaker_text
1913,3116,4,occurs_in_speaker_text
977,3116,1,occurs_in_speaker_text
666,3116,5,occurs_in_speaker_text
1556,3116,1,occurs_in_speaker_text
1034,3116,11,occurs_in_speaker_text
2095,3116,1,occurs_in_speaker_text
2633,3116,4,occurs_in_speaker_text
436,3116,1,occurs_in_speaker_text
165,3116,1,occurs_in_speaker_text
2917,3116,1,occurs_in_speaker_text
2955,3116,1,occurs_in_speaker_text
1823,3116,2,occurs_in_speaker_text
1364,3116,1,occurs_in_speaker_text
1069,3116,1,occurs_in_speaker_text
1589,3116,5,occurs_in_speaker_text
1051,3116,3,occurs_in_speaker_text
1316,3116,1,occurs_in_speaker_text
2477,3116,4,occurs_in_speaker_text
1798,3116,1,occurs_in_speaker_text
2793,3116,1,occurs_in_speaker_text
1745,3116,1,occurs_in_speaker_text
1034,3117,1,occurs_in_speaker_text
752,3117,1,occurs_in_speaker_text
1034,3118,23,occurs_in_speaker_text
1194,3118,1,occurs_in_speaker_text
1250,3118,10,occurs_in_speaker_text
666,3118,35,occurs_in_speaker_text
1828,3118,1,occurs_in_speaker_text
616,3118,1,occurs_in_speaker_text
2360,3118,2,occurs_in_speaker_text
1193,3118,7,occurs_in_speaker_text
1156,3118,2,occurs_in_speaker_text
1294,3118,5,occurs_in_speaker_text
2477,3118,2,occurs_in_speaker_text
1051,3118,11,occurs_in_speaker_text
2055,3118,1,occurs_in_speaker_text
2323,3118,2,occurs_in_speaker_text
2095,3118,2,occurs_in_speaker_text
2395,3118,2,occurs_in_speaker_text
29,3118,2,occurs_in_speaker_text
780,3118,1,occurs_in_speaker_text
373,3118,1,occurs_in_speaker_text
409,3118,1,occurs_in_speaker_text
