Id,Label,Type
259,jupiter,Tier-Lemma
260,geschwader,Tier-Lemma
261,simsons,Tier-Lemma
262,maiwurm,Tier-Lemma
263,fiber,Tier-Lemma
264,zeh,Tier-Lemma
265,aeußre,Tier-Lemma
266,geweih,Tier-Lemma
267,humpelbein,Tier-Lemma
268,skudi,Tier-Lemma
269,mäu,Tier-Lemma
270,leda,Tier-Lemma
271,cilli,Tier-Lemma
272,schnattergan,Tier-Lemma
273,pfeyl,Tier-Lemma
274,meerkater,Tier-Lemma
275,hase,Tier-Lemma
276,wüstenpferde,Tier-Lemma
277,falter,Tier-Lemma
278,steel,Tier-Lemma
279,schmertzen,Tier-Lemma
280,mausekatze,Tier-Lemma
281,christine,Tier-Lemma
282,löwenhaut,Tier-Lemma
283,parry,Tier-Lemma
284,franzosenhund,Tier-Lemma
285,rick,Tier-Lemma
286,satana,Tier-Lemma
287,hundsfütter,Tier-Lemma
288,riesenficht,Tier-Lemma
289,deg,Tier-Lemma
290,ripp,Tier-Lemma
291,kalasche,Tier-Lemma
292,bellerton,Tier-Lemma
293,waldhörnern,Tier-Lemma
294,capitain,Tier-Lemma
295,seepeer,Tier-Lemma
296,spanfudler,Tier-Lemma
297,essend,Tier-Lemma
298,kätzchen,Tier-Lemma
299,rattenschwanz,Tier-Lemma
300,vogelflug,Tier-Lemma
301,sünder,Tier-Lemma
302,kohlkopf,Tier-Lemma
303,mastochsen,Tier-Lemma
304,rothkopf,Tier-Lemma
305,trauerfalt,Tier-Lemma
306,gespenst,Tier-Lemma
307,dickkopf,Tier-Lemma
308,thier,Tier-Lemma
309,zuspeis,Tier-Lemma
310,fidel,Tier-Lemma
311,hanefkörndl,Tier-Lemma
312,heuschrecke,Tier-Lemma
313,teufels-larve,Tier-Lemma
314,homunculus,Tier-Lemma
315,alraune,Tier-Lemma
316,pflegling,Tier-Lemma
317,moses,Tier-Lemma
318,cili,Tier-Lemma
319,koffre,Tier-Lemma
320,zottelbär,Tier-Lemma
321,pudelchen,Tier-Lemma
322,grill,Tier-Lemma
323,piro,Tier-Lemma
324,hasen,Tier-Lemma
325,rosalie,Tier-Lemma
326,taubenherz,Tier-Lemma
327,gezirp,Tier-Lemma
328,krabbe's,Tier-Lemma
329,pfänder,Tier-Lemma
330,stierhauen,Tier-Lemma
331,rindviech,Tier-Lemma
332,zwey,Tier-Lemma
333,steinbock's,Tier-Lemma
334,püschel,Tier-Lemma
335,hendeln,Tier-Lemma
336,gekalbet,Tier-Lemma
337,kröten-und-unkenbrut,Tier-Lemma
338,nephel,Tier-Lemma
339,charybdi,Tier-Lemma
340,hundejung,Tier-Lemma
341,venetier,Tier-Lemma
342,sabac,Tier-Lemma
343,kindskopf,Tier-Lemma
344,lohengrin,Tier-Lemma
345,ziegenbock,Tier-Lemma
346,schararaka,Tier-Lemma
347,schuppen-panzer,Tier-Lemma
348,bauernpferde,Tier-Lemma
349,posaune,Tier-Lemma
350,pythia,Tier-Lemma
351,spitzbüberey,Tier-Lemma
352,wallfische,Tier-Lemma
353,riesenweib,Tier-Lemma
354,geschor'nen,Tier-Lemma
355,stiefcousinch,Tier-Lemma
356,kapphähne,Tier-Lemma
357,rosi,Tier-Lemma
358,sichel,Tier-Lemma
359,lazert,Tier-Lemma
360,schoß,Tier-Lemma
361,didus,Tier-Lemma
362,aimablest,Tier-Lemma
363,gomorra,Tier-Lemma
364,pedrilla,Tier-Lemma
365,untier,Tier-Lemma
366,schwanzfeder,Tier-Lemma
367,nereide,Tier-Lemma
368,wöhler,Tier-Lemma
369,reitpferd,Tier-Lemma
370,lel,Tier-Lemma
371,eydschwur,Tier-Lemma
372,pollux,Tier-Lemma
373,schnapphähne,Tier-Lemma
374,hyder,Tier-Lemma
375,smerle,Tier-Lemma
376,mammon,Tier-Lemma
377,gorill,Tier-Lemma
378,heidschnuck,Tier-Lemma
379,metzjerschhund,Tier-Lemma
380,stuppeln,Tier-Lemma
381,tierrasse,Tier-Lemma
382,repetitionsstrophe,Tier-Lemma
383,chimaire,Tier-Lemma
384,frösch,Tier-Lemma
385,gsichter,Tier-Lemma
386,bärenfell,Tier-Lemma
387,maccabäer,Tier-Lemma
388,speelvogel,Tier-Lemma
389,hühner,Tier-Lemma
390,speziesthaler,Tier-Lemma
391,ehweib,Tier-Lemma
392,lästermaul,Tier-Lemma
393,agathe,Tier-Lemma
394,gierschlündig,Tier-Lemma
395,stambol,Tier-Lemma
396,pelide,Tier-Lemma
397,pocke,Tier-Lemma
398,achills,Tier-Lemma
399,jakobsbruder,Tier-Lemma
400,wundertier,Tier-Lemma
401,wildschweinkopf,Tier-Lemma
402,ambrosia,Tier-Lemma
403,finantze,Tier-Lemma
404,stockzähn,Tier-Lemma
405,infell,Tier-Lemma
406,silberschwan,Tier-Lemma
407,pferdefuß,Tier-Lemma
408,katzenschwanz,Tier-Lemma
409,hornwachs,Tier-Lemma
410,calliope,Tier-Lemma
411,räuber,Tier-Lemma
412,judas,Tier-Lemma
413,krapfen,Tier-Lemma
414,bug,Tier-Lemma
415,papagei,Tier-Lemma
416,wellenkahn,Tier-Lemma
417,peniculum,Tier-Lemma
418,zahnfleisch,Tier-Lemma
419,hungrig,Tier-Lemma
420,finga,Tier-Lemma
421,ziegenfüßlerinn,Tier-Lemma
422,graubärten,Tier-Lemma
423,hecht,Tier-Lemma
424,rappschnabel,Tier-Lemma
425,höll,Tier-Lemma
426,schakal,Tier-Lemma
427,faseleie,Tier-Lemma
428,regii,Tier-Lemma
429,pferdekiefer,Tier-Lemma
430,vorderfüße,Tier-Lemma
431,fusthämmer,Tier-Lemma
432,adlerbrut,Tier-Lemma
433,gelärm,Tier-Lemma
434,landry,Tier-Lemma
435,kreuzschnabel,Tier-Lemma
436,rothschild,Tier-Lemma
437,ko-ko-ko-ko-kopf,Tier-Lemma
438,baßgeiger,Tier-Lemma
439,lisiska,Tier-Lemma
440,büffeln,Tier-Lemma
441,schwänen,Tier-Lemma
442,kameelskopf,Tier-Lemma
443,rüde,Tier-Lemma
444,fanghund,Tier-Lemma
445,commorari,Tier-Lemma
446,wildkatze,Tier-Lemma
447,zikad,Tier-Lemma
448,collas,Tier-Lemma
449,seekarpfen,Tier-Lemma
450,natibus,Tier-Lemma
451,lauscher,Tier-Lemma
452,teufelsfratz,Tier-Lemma
453,lumbrici,Tier-Lemma
454,totenvögel,Tier-Lemma
455,huste,Tier-Lemma
456,titus,Tier-Lemma
457,bull-dogs,Tier-Lemma
458,stieren,Tier-Lemma
459,kornett,Tier-Lemma
460,rebhuhn,Tier-Lemma
461,kibitze,Tier-Lemma
462,federkamm,Tier-Lemma
463,amica,Tier-Lemma
464,huf,Tier-Lemma
465,federbüschen,Tier-Lemma
466,rehder,Tier-Lemma
467,rattenkönig,Tier-Lemma
468,vogl,Tier-Lemma
469,hänflingei,Tier-Lemma
470,narziß,Tier-Lemma
471,springfritze,Tier-Lemma
472,orang,Tier-Lemma
473,hpochondriaco,Tier-Lemma
474,maid,Tier-Lemma
475,doeren,Tier-Lemma
476,schweißhund,Tier-Lemma
477,katzentrotz,Tier-Lemma
478,tell,Tier-Lemma
479,v.,Tier-Lemma
480,katzenaug,Tier-Lemma
481,küke,Tier-Lemma
482,schweinsschwanz,Tier-Lemma
483,kasimir,Tier-Lemma
484,pustrohr,Tier-Lemma
485,widerhak,Tier-Lemma
486,pumpernickl,Tier-Lemma
487,phantome,Tier-Lemma
488,blikken,Tier-Lemma
489,käferlein,Tier-Lemma
490,kutschpferde,Tier-Lemma
491,specht,Tier-Lemma
492,czervany,Tier-Lemma
493,koketterie,Tier-Lemma
494,corpus,Tier-Lemma
495,thäler,Tier-Lemma
496,thier-sprache,Tier-Lemma
497,löwenherz,Tier-Lemma
498,koppel,Tier-Lemma
499,schooßhund,Tier-Lemma
500,amsel,Tier-Lemma
501,beym,Tier-Lemma
502,stehhund,Tier-Lemma
503,singevogel,Tier-Lemma
504,mädgen,Tier-Lemma
505,fresser,Tier-Lemma
506,saphire,Tier-Lemma
507,maus,Tier-Lemma
508,geflecht,Tier-Lemma
509,schnecken-pudel,Tier-Lemma
510,madenwurm,Tier-Lemma
511,schwämmen,Tier-Lemma
512,phrasengebimmel,Tier-Lemma
513,panthern,Tier-Lemma
514,gisgon,Tier-Lemma
515,sanfthingleitende,Tier-Lemma
516,schlangenbug,Tier-Lemma
517,lemmche,Tier-Lemma
518,räthin,Tier-Lemma
519,spinnenleib,Tier-Lemma
520,simurghs,Tier-Lemma
521,truthahn,Tier-Lemma
522,aantn,Tier-Lemma
523,schneegefieder,Tier-Lemma
524,drilling,Tier-Lemma
525,leberknödel,Tier-Lemma
526,starmatz,Tier-Lemma
