Id,Label,Type
447,distel,Pflanze-Lemma
448,bakbarah,Pflanze-Lemma
449,gränchen,Pflanze-Lemma
450,hefe,Pflanze-Lemma
451,sandkorn,Pflanze-Lemma
452,feldblume,Pflanze-Lemma
453,türk,Pflanze-Lemma
454,tantalide,Pflanze-Lemma
455,witzblätter,Pflanze-Lemma
456,gräbch,Pflanze-Lemma
457,coulis,Pflanze-Lemma
458,rosenbüsch,Pflanze-Lemma
459,gurken,Pflanze-Lemma
460,felsenritz,Pflanze-Lemma
461,rotte,Pflanze-Lemma
462,wipfeldach,Pflanze-Lemma
463,vogelschlag,Pflanze-Lemma
464,eichenpflanzung,Pflanze-Lemma
465,zank,Pflanze-Lemma
466,blütenflor,Pflanze-Lemma
467,lib,Pflanze-Lemma
468,kastanienbaum,Pflanze-Lemma
469,hartschier,Pflanze-Lemma
470,apfelwang,Pflanze-Lemma
471,rübezahl,Pflanze-Lemma
472,umbuscht,Pflanze-Lemma
473,wurzelanfang,Pflanze-Lemma
474,schlinggewächs,Pflanze-Lemma
475,vomitiva,Pflanze-Lemma
476,erdgeborner,Pflanze-Lemma
477,haidekraut,Pflanze-Lemma
478,birkenäuglein,Pflanze-Lemma
479,blütenblatt,Pflanze-Lemma
480,tandlerbube,Pflanze-Lemma
481,veilchenstrauß,Pflanze-Lemma
482,aloë,Pflanze-Lemma
483,dinkel,Pflanze-Lemma
484,trau'r,Pflanze-Lemma
485,schattenpflanze,Pflanze-Lemma
486,tirailleur,Pflanze-Lemma
487,moose,Pflanze-Lemma
488,doppelfrucht,Pflanze-Lemma
489,holdseligst,Pflanze-Lemma
490,schmuk,Pflanze-Lemma
491,tande,Pflanze-Lemma
492,baumgarte,Pflanze-Lemma
493,trauerbirk,Pflanze-Lemma
494,gall,Pflanze-Lemma
495,segensblume,Pflanze-Lemma
496,weihkessel,Pflanze-Lemma
497,kifferbeiß,Pflanze-Lemma
498,rebengott,Pflanze-Lemma
499,wurzeläst,Pflanze-Lemma
500,fiedel,Pflanze-Lemma
501,grille,Pflanze-Lemma
502,vorderbusch,Pflanze-Lemma
503,pyreneorum,Pflanze-Lemma
504,nüs,Pflanze-Lemma
505,garnknäueln,Pflanze-Lemma
506,apoll,Pflanze-Lemma
507,cäsonia,Pflanze-Lemma
508,hecker,Pflanze-Lemma
509,baume,Pflanze-Lemma
510,weinberl,Pflanze-Lemma
511,myrtenreis,Pflanze-Lemma
512,sesterzien,Pflanze-Lemma
513,büchelchen,Pflanze-Lemma
514,dorngeflecht,Pflanze-Lemma
515,ebenholz,Pflanze-Lemma
516,veitstanz,Pflanze-Lemma
517,brechstang,Pflanze-Lemma
518,eichenwipfeln,Pflanze-Lemma
519,blumenengel,Pflanze-Lemma
520,herzenterb,Pflanze-Lemma
521,pisangfrucht,Pflanze-Lemma
522,gurk,Pflanze-Lemma
523,kaktus,Pflanze-Lemma
524,granatbusch,Pflanze-Lemma
525,damaskus,Pflanze-Lemma
526,bammel,Pflanze-Lemma
527,himmelsfeu'r,Pflanze-Lemma
528,veilchenatem,Pflanze-Lemma
529,pflanzenseim,Pflanze-Lemma
530,mayenzweige,Pflanze-Lemma
531,süßholz,Pflanze-Lemma
532,kastanie,Pflanze-Lemma
533,zitternadel,Pflanze-Lemma
534,baum-schule,Pflanze-Lemma
535,maulbeerblätter,Pflanze-Lemma
536,blust,Pflanze-Lemma
537,plunder,Pflanze-Lemma
538,schib,Pflanze-Lemma
539,cameli,Pflanze-Lemma
540,weine,Pflanze-Lemma
541,muskatellerbirndln,Pflanze-Lemma
542,tränenweide,Pflanze-Lemma
543,schmeerbäuche,Pflanze-Lemma
544,grausamen,Pflanze-Lemma
545,cyperwein,Pflanze-Lemma
546,malve,Pflanze-Lemma
547,pinium,Pflanze-Lemma
548,kastanienast,Pflanze-Lemma
549,waldblumen,Pflanze-Lemma
550,rosenthon,Pflanze-Lemma
551,astgeflecht,Pflanze-Lemma
552,farrensam,Pflanze-Lemma
553,abschaum,Pflanze-Lemma
554,angeln,Pflanze-Lemma
555,plan,Pflanze-Lemma
556,weinstock,Pflanze-Lemma
557,blümche,Pflanze-Lemma
558,ficken,Pflanze-Lemma
559,frühlingskranz,Pflanze-Lemma
560,narcis,Pflanze-Lemma
561,blumenteppich,Pflanze-Lemma
562,machandelbaum,Pflanze-Lemma
563,osirismythen,Pflanze-Lemma
564,blätterstreu,Pflanze-Lemma
565,löwenzungen,Pflanze-Lemma
566,löwenmaul,Pflanze-Lemma
567,baumfleck,Pflanze-Lemma
568,zigeinerweib,Pflanze-Lemma
569,melissenblümlein,Pflanze-Lemma
570,apollonia,Pflanze-Lemma
571,siegesbeet,Pflanze-Lemma
572,nereu,Pflanze-Lemma
573,dickbäuchige,Pflanze-Lemma
574,nieswurz,Pflanze-Lemma
575,petersilie,Pflanze-Lemma
576,osterglock,Pflanze-Lemma
577,triebe,Pflanze-Lemma
578,liebeskeim,Pflanze-Lemma
579,wampum,Pflanze-Lemma
580,schteene,Pflanze-Lemma
581,brodgrümel,Pflanze-Lemma
582,lerchenwirbel,Pflanze-Lemma
583,schnitter,Pflanze-Lemma
584,lind'rung,Pflanze-Lemma
585,brennessel,Pflanze-Lemma
586,blütenbäume,Pflanze-Lemma
587,rosenhag,Pflanze-Lemma
588,linde,Pflanze-Lemma
589,weidengesträuch,Pflanze-Lemma
590,farnrode,Pflanze-Lemma
591,heilsarmee,Pflanze-Lemma
592,lisett,Pflanze-Lemma
593,geranke,Pflanze-Lemma
594,farrenkräuter,Pflanze-Lemma
595,hiobspost,Pflanze-Lemma
596,schafshäutl,Pflanze-Lemma
597,hohenstaufen,Pflanze-Lemma
598,bälder,Pflanze-Lemma
599,blumenstengel,Pflanze-Lemma
600,löwenzahn,Pflanze-Lemma
601,weyhrauch,Pflanze-Lemma
602,obstverlust,Pflanze-Lemma
603,reisigbündel,Pflanze-Lemma
604,judenkirschen,Pflanze-Lemma
605,leinewand,Pflanze-Lemma
606,rogg,Pflanze-Lemma
607,wipfelwehen,Pflanze-Lemma
608,ulme,Pflanze-Lemma
609,heid,Pflanze-Lemma
610,saphena,Pflanze-Lemma
611,blüte,Pflanze-Lemma
612,lotusblume,Pflanze-Lemma
613,stabe,Pflanze-Lemma
614,waldfräulein,Pflanze-Lemma
615,burgunder,Pflanze-Lemma
616,traube,Pflanze-Lemma
617,exegeticum,Pflanze-Lemma
618,rosenkette,Pflanze-Lemma
619,senkgrube,Pflanze-Lemma
620,schaum,Pflanze-Lemma
621,benj,Pflanze-Lemma
622,kastanienzweig,Pflanze-Lemma
623,ähr,Pflanze-Lemma
624,reisig,Pflanze-Lemma
625,lilienblumenkreuzeswunder,Pflanze-Lemma
626,saame,Pflanze-Lemma
627,pflanzenleben,Pflanze-Lemma
628,lispelnder,Pflanze-Lemma
629,distichon,Pflanze-Lemma
630,fittige,Pflanze-Lemma
631,gurgistan,Pflanze-Lemma
