Source,Target,Weight,Type
3029,3334,1,occurs_in_speaker_text
990,3334,14,occurs_in_speaker_text
1851,3334,1,occurs_in_speaker_text
509,3334,1,occurs_in_speaker_text
2727,3334,2,occurs_in_speaker_text
3278,3334,1,occurs_in_speaker_text
2521,3335,1,occurs_in_speaker_text
2433,3335,1,occurs_in_speaker_text
1833,3335,1,occurs_in_speaker_text
2612,3335,1,occurs_in_speaker_text
2727,3335,2,occurs_in_speaker_text
2120,3335,1,occurs_in_speaker_text
196,3335,1,occurs_in_speaker_text
3299,3335,1,occurs_in_speaker_text
3020,3335,1,occurs_in_speaker_text
2235,3335,3,occurs_in_speaker_text
1837,3335,2,occurs_in_speaker_text
153,3335,1,occurs_in_speaker_text
854,3335,1,occurs_in_speaker_text
946,3335,1,occurs_in_speaker_text
3281,3335,1,occurs_in_speaker_text
624,3335,1,occurs_in_speaker_text
3234,3335,1,occurs_in_speaker_text
770,3335,1,occurs_in_speaker_text
2241,3336,1,occurs_in_speaker_text
1018,3336,2,occurs_in_speaker_text
1652,3336,1,occurs_in_speaker_text
2491,3336,1,occurs_in_speaker_text
1501,3336,2,occurs_in_speaker_text
1440,3336,1,occurs_in_speaker_text
3254,3336,1,occurs_in_speaker_text
557,3336,1,occurs_in_speaker_text
2261,3336,2,occurs_in_speaker_text
196,3336,4,occurs_in_speaker_text
3007,3336,1,occurs_in_speaker_text
420,3336,1,occurs_in_speaker_text
1414,3336,3,occurs_in_speaker_text
1429,3336,1,occurs_in_speaker_text
3234,3336,1,occurs_in_speaker_text
1974,3336,1,occurs_in_speaker_text
1833,3336,1,occurs_in_speaker_text
3261,3336,1,occurs_in_speaker_text
2418,3336,1,occurs_in_speaker_text
622,3336,1,occurs_in_speaker_text
770,3336,2,occurs_in_speaker_text
761,3336,1,occurs_in_speaker_text
2694,3336,1,occurs_in_speaker_text
153,3336,2,occurs_in_speaker_text
956,3336,1,occurs_in_speaker_text
702,3337,1,occurs_in_speaker_text
497,3337,1,occurs_in_speaker_text
2744,3337,1,occurs_in_speaker_text
1482,3337,1,occurs_in_speaker_text
402,3337,1,occurs_in_speaker_text
1261,3337,1,occurs_in_speaker_text
1501,3338,2,occurs_in_speaker_text
209,3338,1,occurs_in_speaker_text
2224,3338,1,occurs_in_speaker_text
1845,3338,1,occurs_in_speaker_text
2059,3338,1,occurs_in_speaker_text
3261,3338,3,occurs_in_speaker_text
770,3338,1,occurs_in_speaker_text
153,3338,5,occurs_in_speaker_text
1018,3338,6,occurs_in_speaker_text
2286,3338,1,occurs_in_speaker_text
2450,3338,1,occurs_in_speaker_text
2841,3338,2,occurs_in_speaker_text
2449,3338,1,occurs_in_speaker_text
2970,3338,1,occurs_in_speaker_text
2487,3338,1,occurs_in_speaker_text
1099,3338,1,occurs_in_speaker_text
1360,3338,2,occurs_in_speaker_text
854,3338,1,occurs_in_speaker_text
2235,3338,10,occurs_in_speaker_text
1024,3338,5,occurs_in_speaker_text
2261,3338,1,occurs_in_speaker_text
3316,3338,1,occurs_in_speaker_text
2766,3338,1,occurs_in_speaker_text
631,3338,1,occurs_in_speaker_text
1537,3338,1,occurs_in_speaker_text
257,3338,1,occurs_in_speaker_text
1429,3338,2,occurs_in_speaker_text
1699,3338,1,occurs_in_speaker_text
1781,3338,1,occurs_in_speaker_text
2776,3338,2,occurs_in_speaker_text
1515,3338,1,occurs_in_speaker_text
2727,3338,1,occurs_in_speaker_text
2802,3338,1,occurs_in_speaker_text
3315,3338,1,occurs_in_speaker_text
645,3338,1,occurs_in_speaker_text
3278,3338,1,occurs_in_speaker_text
2732,3338,1,occurs_in_speaker_text
197,3338,1,occurs_in_speaker_text
1320,3338,1,occurs_in_speaker_text
1008,3338,1,occurs_in_speaker_text
2367,3338,1,occurs_in_speaker_text
2774,3338,1,occurs_in_speaker_text
153,3339,1,occurs_in_speaker_text
1398,3339,1,occurs_in_speaker_text
3261,3339,1,occurs_in_speaker_text
1456,3339,1,occurs_in_speaker_text
1771,3339,1,occurs_in_speaker_text
2424,3339,1,occurs_in_speaker_text
2833,3339,1,occurs_in_speaker_text
3254,3339,1,occurs_in_speaker_text
1600,3339,1,occurs_in_speaker_text
2076,3339,1,occurs_in_speaker_text
2999,3340,2,occurs_in_speaker_text
1982,3340,15,occurs_in_speaker_text
698,3340,1,occurs_in_speaker_text
291,3340,1,occurs_in_speaker_text
3149,3340,1,occurs_in_speaker_text
1581,3340,1,occurs_in_speaker_text
61,3340,1,occurs_in_speaker_text
953,3340,1,occurs_in_speaker_text
2849,3340,2,occurs_in_speaker_text
1757,3340,1,occurs_in_speaker_text
510,3340,1,occurs_in_speaker_text
2969,3340,1,occurs_in_speaker_text
2952,3340,1,occurs_in_speaker_text
100,3340,1,occurs_in_speaker_text
3278,3341,1,occurs_in_speaker_text
2916,3341,1,occurs_in_speaker_text
1812,3341,1,occurs_in_speaker_text
2203,3341,1,occurs_in_speaker_text
1804,3341,1,occurs_in_speaker_text
3261,3341,1,occurs_in_speaker_text
2127,3341,1,occurs_in_speaker_text
770,3341,1,occurs_in_speaker_text
1033,3341,1,occurs_in_speaker_text
153,3341,1,occurs_in_speaker_text
1018,3341,1,occurs_in_speaker_text
2235,3341,1,occurs_in_speaker_text
265,3342,1,occurs_in_speaker_text
3061,3342,1,occurs_in_speaker_text
142,3342,1,occurs_in_speaker_text
557,3342,1,occurs_in_speaker_text
1812,3342,1,occurs_in_speaker_text
3261,3342,2,occurs_in_speaker_text
1072,3342,2,occurs_in_speaker_text
501,3342,1,occurs_in_speaker_text
2082,3342,1,occurs_in_speaker_text
1501,3342,1,occurs_in_speaker_text
2667,3342,1,occurs_in_speaker_text
615,3342,1,occurs_in_speaker_text
450,3342,1,occurs_in_speaker_text
439,3342,1,occurs_in_speaker_text
2704,3342,1,occurs_in_speaker_text
2577,3342,1,occurs_in_speaker_text
1142,3342,1,occurs_in_speaker_text
1837,3342,1,occurs_in_speaker_text
81,3342,1,occurs_in_speaker_text
3261,3343,8,occurs_in_speaker_text
2977,3343,1,occurs_in_speaker_text
1615,3343,1,occurs_in_speaker_text
281,3343,1,occurs_in_speaker_text
2666,3343,1,occurs_in_speaker_text
196,3343,1,occurs_in_speaker_text
163,3343,1,occurs_in_speaker_text
2841,3343,1,occurs_in_speaker_text
3022,3343,1,occurs_in_speaker_text
3269,3343,1,occurs_in_speaker_text
857,3343,1,occurs_in_speaker_text
1316,3343,1,occurs_in_speaker_text
2727,3343,1,occurs_in_speaker_text
3104,3343,1,occurs_in_speaker_text
259,3343,1,occurs_in_speaker_text
2801,3344,1,occurs_in_speaker_text
153,3344,1,occurs_in_speaker_text
3232,3344,1,occurs_in_speaker_text
2991,3344,1,occurs_in_speaker_text
425,3344,5,occurs_in_speaker_text
2727,3344,4,occurs_in_speaker_text
2995,3344,1,occurs_in_speaker_text
359,3344,16,occurs_in_speaker_text
249,3344,2,occurs_in_speaker_text
2833,3344,1,occurs_in_speaker_text
1140,3344,1,occurs_in_speaker_text
2686,3344,1,occurs_in_speaker_text
770,3344,3,occurs_in_speaker_text
1793,3344,1,occurs_in_speaker_text
1537,3344,1,occurs_in_speaker_text
2704,3345,1,occurs_in_speaker_text
1837,3345,1,occurs_in_speaker_text
2755,3345,1,occurs_in_speaker_text
447,3345,1,occurs_in_speaker_text
2855,3345,1,occurs_in_speaker_text
1770,3345,1,occurs_in_speaker_text
3070,3345,1,occurs_in_speaker_text
2796,3345,1,occurs_in_speaker_text
1710,3345,1,occurs_in_speaker_text
3278,3345,1,occurs_in_speaker_text
3020,3346,1,occurs_in_speaker_text
2261,3346,2,occurs_in_speaker_text
3234,3346,3,occurs_in_speaker_text
2732,3346,2,occurs_in_speaker_text
1111,3346,1,occurs_in_speaker_text
3308,3346,1,occurs_in_speaker_text
378,3346,1,occurs_in_speaker_text
2534,3346,1,occurs_in_speaker_text
700,3346,1,occurs_in_speaker_text
990,3346,1,occurs_in_speaker_text
2235,3346,2,occurs_in_speaker_text
2727,3346,3,occurs_in_speaker_text
3123,3346,1,occurs_in_speaker_text
2425,3346,1,occurs_in_speaker_text
2289,3346,1,occurs_in_speaker_text
196,3346,1,occurs_in_speaker_text
2738,3346,1,occurs_in_speaker_text
450,3346,1,occurs_in_speaker_text
2841,3346,2,occurs_in_speaker_text
1370,3346,1,occurs_in_speaker_text
1018,3346,2,occurs_in_speaker_text
1429,3346,1,occurs_in_speaker_text
3315,3346,1,occurs_in_speaker_text
343,3346,1,occurs_in_speaker_text
3044,3346,1,occurs_in_speaker_text
528,3346,1,occurs_in_speaker_text
2457,3346,1,occurs_in_speaker_text
2299,3346,1,occurs_in_speaker_text
524,3346,1,occurs_in_speaker_text
2775,3346,1,occurs_in_speaker_text
611,3346,1,occurs_in_speaker_text
2727,3347,3,occurs_in_speaker_text
3261,3347,2,occurs_in_speaker_text
2778,3347,1,occurs_in_speaker_text
661,3347,1,occurs_in_speaker_text
257,3348,1,occurs_in_speaker_text
2568,3348,2,occurs_in_speaker_text
1341,3348,1,occurs_in_speaker_text
277,3348,1,occurs_in_speaker_text
1598,3348,1,occurs_in_speaker_text
196,3348,1,occurs_in_speaker_text
2452,3348,34,occurs_in_speaker_text
239,3348,1,occurs_in_speaker_text
1831,3348,2,occurs_in_speaker_text
1935,3348,1,occurs_in_speaker_text
2533,3348,1,occurs_in_speaker_text
437,3348,1,occurs_in_speaker_text
2261,3348,1,occurs_in_speaker_text
1295,3348,1,occurs_in_speaker_text
852,3348,1,occurs_in_speaker_text
3005,3348,1,occurs_in_speaker_text
58,3348,1,occurs_in_speaker_text
173,3348,1,occurs_in_speaker_text
2076,3348,1,occurs_in_speaker_text
2713,3348,1,occurs_in_speaker_text
770,3348,1,occurs_in_speaker_text
655,3348,1,occurs_in_speaker_text
770,3349,1,occurs_in_speaker_text
2142,3349,2,occurs_in_speaker_text
3232,3349,1,occurs_in_speaker_text
2727,3349,2,occurs_in_speaker_text
928,3349,1,occurs_in_speaker_text
1837,3349,1,occurs_in_speaker_text
3210,3349,1,occurs_in_speaker_text
2261,3349,1,occurs_in_speaker_text
1537,3349,1,occurs_in_speaker_text
2235,3349,1,occurs_in_speaker_text
2863,3349,1,occurs_in_speaker_text
2072,3349,1,occurs_in_speaker_text
2491,3349,1,occurs_in_speaker_text
904,3349,3,occurs_in_speaker_text
3261,3349,1,occurs_in_speaker_text
352,3349,1,occurs_in_speaker_text
2833,3349,1,occurs_in_speaker_text
1429,3349,1,occurs_in_speaker_text
299,3349,1,occurs_in_speaker_text
153,3349,1,occurs_in_speaker_text
3261,3350,4,occurs_in_speaker_text
153,3350,3,occurs_in_speaker_text
657,3350,1,occurs_in_speaker_text
1084,3350,1,occurs_in_speaker_text
1550,3350,1,occurs_in_speaker_text
2727,3352,9,occurs_in_speaker_text
770,3352,1,occurs_in_speaker_text
2841,3352,10,occurs_in_speaker_text
509,3352,1,occurs_in_speaker_text
3261,3352,5,occurs_in_speaker_text
1453,3352,1,occurs_in_speaker_text
1837,3352,1,occurs_in_speaker_text
291,3352,1,occurs_in_speaker_text
1210,3352,1,occurs_in_speaker_text
3314,3352,3,occurs_in_speaker_text
2235,3352,1,occurs_in_speaker_text
1002,3352,1,occurs_in_speaker_text
1174,3352,1,occurs_in_speaker_text
129,3352,1,occurs_in_speaker_text
2079,3352,1,occurs_in_speaker_text
153,3352,2,occurs_in_speaker_text
2425,3352,1,occurs_in_speaker_text
1229,3352,1,occurs_in_speaker_text
3278,3353,1,occurs_in_speaker_text
1072,3354,1,occurs_in_speaker_text
990,3354,1,occurs_in_speaker_text
2425,3354,1,occurs_in_speaker_text
792,3354,1,occurs_in_speaker_text
2190,3354,1,occurs_in_speaker_text
2086,3354,1,occurs_in_speaker_text
1710,3355,1,occurs_in_speaker_text
611,3355,1,occurs_in_speaker_text
2235,3355,1,occurs_in_speaker_text
2821,3355,1,occurs_in_speaker_text
2286,3355,1,occurs_in_speaker_text
904,3355,1,occurs_in_speaker_text
1798,3356,1,occurs_in_speaker_text
153,3356,15,occurs_in_speaker_text
3143,3356,2,occurs_in_speaker_text
3126,3356,1,occurs_in_speaker_text
1188,3356,1,occurs_in_speaker_text
1195,3356,1,occurs_in_speaker_text
2234,3356,1,occurs_in_speaker_text
59,3356,1,occurs_in_speaker_text
231,3356,1,occurs_in_speaker_text
2535,3356,1,occurs_in_speaker_text
153,3357,21,occurs_in_speaker_text
3261,3357,2,occurs_in_speaker_text
2727,3357,1,occurs_in_speaker_text
770,3357,3,occurs_in_speaker_text
611,3357,4,occurs_in_speaker_text
2368,3357,1,occurs_in_speaker_text
1903,3357,1,occurs_in_speaker_text
844,3357,1,occurs_in_speaker_text
2780,3357,1,occurs_in_speaker_text
2472,3357,3,occurs_in_speaker_text
2235,3357,2,occurs_in_speaker_text
3065,3357,1,occurs_in_speaker_text
1018,3357,1,occurs_in_speaker_text
990,3357,1,occurs_in_speaker_text
520,3357,1,occurs_in_speaker_text
3027,3357,1,occurs_in_speaker_text
3143,3357,1,occurs_in_speaker_text
1073,3357,1,occurs_in_speaker_text
885,3357,1,occurs_in_speaker_text
196,3357,1,occurs_in_speaker_text
2186,3357,1,occurs_in_speaker_text
1343,3357,1,occurs_in_speaker_text
770,3358,1,occurs_in_speaker_text
1837,3358,1,occurs_in_speaker_text
1537,3358,1,occurs_in_speaker_text
2933,3358,1,occurs_in_speaker_text
2727,3359,6,occurs_in_speaker_text
1340,3359,1,occurs_in_speaker_text
2704,3359,2,occurs_in_speaker_text
2060,3359,1,occurs_in_speaker_text
1662,3359,1,occurs_in_speaker_text
2624,3359,1,occurs_in_speaker_text
2070,3359,1,occurs_in_speaker_text
2497,3359,1,occurs_in_speaker_text
2568,3359,1,occurs_in_speaker_text
2235,3359,1,occurs_in_speaker_text
2841,3359,1,occurs_in_speaker_text
101,3359,1,occurs_in_speaker_text
196,3359,1,occurs_in_speaker_text
2260,3359,2,occurs_in_speaker_text
1431,3359,1,occurs_in_speaker_text
1020,3359,1,occurs_in_speaker_text
1567,3359,1,occurs_in_speaker_text
3280,3359,1,occurs_in_speaker_text
153,3359,3,occurs_in_speaker_text
2843,3359,1,occurs_in_speaker_text
557,3359,2,occurs_in_speaker_text
1501,3359,1,occurs_in_speaker_text
3220,3359,2,occurs_in_speaker_text
1650,3359,1,occurs_in_speaker_text
2693,3359,1,occurs_in_speaker_text
1496,3359,1,occurs_in_speaker_text
2345,3359,1,occurs_in_speaker_text
3033,3360,1,occurs_in_speaker_text
